|6.6.6
pyrolite_1.tab
           2
P(bar)
   1.0000000000000000
   6410.2307692307695
          40
T(K)
   300.00000000000000
   56.410256410256409
          40
          30
P(bar)         T(K)           rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        	vol_Pl1 vol_Pl2 vol_O vol_Cpx1 vol_Cpx2 vol_ky vol_q vol_Opx vol_Gt1 vol_Gt2 vol_Sp vol_C2overc vol_Ring vol_Wad vol_st vol_Wus1 vol_Wus2 vol_Aki1 vol_Aki2 vol_capv vol_CF vol_Pv
  192308.        412.821        4060.73       0.131744E-004   924.418        10.6728        5.97712      -0.820887E+007	0 0 0 0.00641581 0 0 0 0 0.143295 0 0 0 0.766722 0 0.0683414 0 0 0.0152261 0 0 0 0
  198718.        412.821        4073.67       0.130012E-004   922.739        10.7099        5.99456      -0.805238E+007	0 0 0 0 0 0 0 0 0.142631 0 0 0 0.769619 0 0.0692627 0 0 0.0184866 0 0 0 0
  205128.        412.821        4084.60       0.128318E-004   921.314        10.7428        6.00698      -0.789653E+007	0 0 0 0 0 0 0 0 0.136689 0 0 0 0.771484 0 0.0699187 0 0 0.0219084 0 0 0 0
  211539.        412.821        4148.28       0.132233E-004   919.206        10.8983        6.08442      -0.774608E+007	0 0 0 0.0263363 0 0 0 0 0 0 0 0 0.650744 0 0.0234959 0 0 0.169209 0.0627939 0.0674207 0 0
  217949.        412.821        4181.82       0.129770E-004   917.341        10.9559        6.10855      -0.759450E+007	0 0 0 0 0 0 0 0 0 0 0 0 0.570229 0 0 0 0 0.283031 0.0616541 0.067827 0.0172594 0
  224359.        412.821        4347.14       0.145045E-004   905.292        11.2633        6.45997      -0.745337E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.146544 0.278286 0 0.419728 0.067111 0.0703653 0.0179654 0
  230769.        412.821        4425.88       0.156622E-004   897.553        11.3997        6.70299      -0.731284E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.380584 0.0308928 0.431944 0.0666962 0 0.0714957 0.0183868 0
  237180.        412.821        4435.44       0.155046E-004   896.356        11.4256        6.71405      -0.716906E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.381716 0.031687 0.431684 0.0648637 0 0.071507 0.0185423 0
  243590.        412.821        4444.94       0.153502E-004   895.168        11.4514        6.72510      -0.702559E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3828 0.0324352 0.431431 0.0631148 0 0.071518 0.0187013 0
  250000.        412.821        4454.38       0.151986E-004   893.991        11.4770        6.73613      -0.688243E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.383795 0.0331158 0.431171 0.0615083 0 0.0715287 0.0188814 0
  1.00000        469.231        3196.89       0.244846E-004   1046.28        7.11080        3.48637      -0.132649E+008	0.0364603 0.12313 0.727613 0.0551385 0 0 0.057658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        469.231        3364.27       0.264606E-004   1040.07        8.20912        4.73971      -0.130820E+008	0 0 0.632614 0.144929 0.029706 0.0567043 0 0.136046 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        469.231        3397.94       0.255217E-004   1039.28        8.32947        4.79412      -0.128954E+008	0 0 0.603588 0.136422 0.0313445 0.0258057 0 0.121322 0.0815182 0 0 0 0 0 0 0 0 0 0 0 0 0
  19231.7        469.231        3427.78       0.247032E-004   1038.50        8.43041        4.83334      -0.127103E+008	0 0 0.57948 0.13182 0.0326384 0 0 0.106766 0.149296 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        469.231        3444.18       0.240163E-004   1036.82        8.48475        4.85036      -0.125261E+008	0 0 0.579436 0.133445 0.0327352 0 0 0.104956 0.149428 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        469.231        3460.28       0.233699E-004   1035.20        8.53797        4.86714      -0.123428E+008	0 0 0.579373 0.134697 0.0330339 0 0 0.103329 0.149566 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        469.231        3476.11       0.227581E-004   1033.62        8.59074        4.88441      -0.121604E+008	0 0 0.579286 0.135414 0.0331826 0 0 0.102364 0.149753 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        469.231        3491.61       0.221836E-004   1032.11        8.64077        4.89920      -0.119785E+008	0 0 0.579246 0.137016 0.0332895 0 0 0.100614 0.149834 0 0 0 0 0 0 0 0 0 0 0 0 0
  51282.8        469.231        3516.37       0.226928E-004   1030.75        8.72137        4.94695      -0.117990E+008	0 0 0.580633 0.136661 0.0313632 0 0 0 0.150455 0 0 0.100888 0 0 0 0 0 0 0 0 0 0
  57693.1        469.231        3531.60       0.221911E-004   1029.22        8.77130        4.96422      -0.116193E+008	0 0 0.580588 0.135003 0.0291265 0 0 0 0.150745 0 0 0.104538 0 0 0 0 0 0 0 0 0 0
  64103.3        469.231        3546.58       0.217116E-004   1027.72        8.82053        4.98132      -0.114402E+008	0 0 0.580534 0.13325 0.0273857 0 0 0 0.151045 0 0 0.107786 0 0 0 0 0 0 0 0 0 0
  70513.5        469.231        3561.75       0.212530E-004   1026.23        8.87128        4.99967      -0.112621E+008	0 0 0.579038 0.13106 0.0259919 0 0 0 0.151368 0 0 0.111129 0.00141324 0 0 0 0 0 0 0 0 0
  76923.8        469.231        3579.91       0.208005E-004   1024.61        8.93679        5.02646      -0.110858E+008	0 0 0.565894 0.128256 0.0250519 0 0 0 0.151687 0 0 0.114745 0.0143665 0 0 0 0 0 0 0 0 0
  83334.0        469.231        3597.56       0.203729E-004   1023.02        8.99934        5.05133      -0.109100E+008	0 0 0.55353 0.12494 0.024086 0 0 0 0.152126 0 0 0.118736 0.0265818 0 0 0 0 0 0 0 0 0
  89744.2        469.231        3614.94       0.199666E-004   1021.45        9.06009        5.07512      -0.107345E+008	0 0 0.541041 0.120889 0.0234521 0 0 0 0.15246 0 0 0.123242 0.038916 0 0 0 0 0 0 0 0 0
  96154.5        469.231        3633.71       0.195730E-004   1019.76        9.12580        5.10227      -0.105597E+008	0 0 0.522937 0.115955 0.0229514 0 0 0 0.152887 0 0 0.128562 0.0567077 0 0 0 0 0 0 0 0 0
  102565.        469.231        3661.44       0.191450E-004   1017.37        9.22323        5.14931      -0.103857E+008	0 0 0.472871 0.111147 0.0224917 0 0 0 0.153758 0 0 0.134261 0.105472 0 0 0 0 0 0 0 0 0
  108975.        469.231        3787.35       0.188851E-004   1009.23        9.70591        5.44630      -0.102216E+008	0 0 0 0.109505 0.0229537 0 0 0 0.158487 0 0 0.143199 0.272912 0.292943 0 0 0 0 0 0 0 0
  115385.        469.231        3822.87       0.178106E-004   1004.26        9.82640        5.51105      -0.100573E+008	0 0 0 0.0991953 0.0230254 0 0 0 0.160089 0 0 0.154046 0.563645 0 0 0 0 0 0 0 0 0
  121795.        469.231        3928.99       0.163090E-004   991.452        10.2716        5.81610      -0.990693E+007	0 0 0 0.0276923 0 0 0 0 0.00495532 0.165227 0 0 0.742416 0 0.0597092 0 0 0 0 0 0 0
  128206.        469.231        3940.37       0.160675E-004   990.291        10.3045        5.82680      -0.974541E+007	0 0 0 0.0261511 0 0 0 0 0.170619 0 0 0 0.743201 0 0.0600284 0 0 0 0 0 0 0
  134616.        469.231        3951.43       0.158340E-004   989.172        10.3362        5.83673      -0.958429E+007	0 0 0 0.0251064 0 0 0 0 0.171043 0 0 0 0.743623 0 0.0602273 0 0 0 0 0 0 0
  141026.        469.231        3962.32       0.156079E-004   988.078        10.3671        5.84627      -0.942355E+007	0 0 0 0.0241904 0 0 0 0 0.171603 0 0 0 0.743848 0 0.060358 0 0 0 0 0 0 0
  147436.        469.231        3973.21       0.153882E-004   986.992        10.3978        5.85587      -0.926317E+007	0 0 0 0.0229147 0 0 0 0 0.172594 0 0 0 0.744025 0 0.0604657 0 0 0 0 0 0 0
  153847.        469.231        3984.02       0.151749E-004   985.923        10.4281        5.86526      -0.910318E+007	0 0 0 0.0215692 0 0 0 0 0.173736 0 0 0 0.744145 0 0.0605498 0 0 0 0 0 0 0
  160257.        469.231        3994.86       0.149675E-004   984.857        10.4582        5.87483      -0.894357E+007	0 0 0 0.0198001 0 0 0 0 0.17534 0 0 0 0.74424 0 0.0606196 0 0 0 0 0 0 0
  166667.        469.231        4005.86       0.147658E-004   983.784        10.4884        5.88480      -0.878433E+007	0 0 0 0.0171945 0 0 0 0 0.177735 0 0 0 0.74438 0 0.0606912 0 0 0 0 0 0 0
  173077.        469.231        4017.02       0.145698E-004   982.702        10.5186        5.89512      -0.862546E+007	0 0 0 0.0136953 0 0 0 0 0.180985 0 0 0 0.744559 0 0.0607606 0 0 0 0 0 0 0
  179487.        469.231        4028.54       0.143792E-004   981.591        10.5493        5.90635      -0.846698E+007	0 0 0 0.00870458 0 0 0 0 0.185647 0 0 0 0.744814 0 0.0608345 0 0 0 0 0 0 0
  185898.        469.231        4040.57       0.141942E-004   980.438        10.5806        5.91872      -0.830889E+007	0 0 0 0.00161147 0 0 0 0 0.192292 0 0 0 0.745183 0 0.060914 0 0 0 0 0 0 0
  192308.        469.231        4054.37       0.139999E-004   978.586        10.6292        5.94390      -0.815283E+007	0 0 0 0 0 0 0 0 0.175694 0 0 0 0.75435 0 0.0640575 0 0 0.00589816 0 0 0 0
  198718.        469.231        4068.07       0.138090E-004   976.666        10.6791        5.96970      -0.799761E+007	0 0 0 0 0 0 0 0 0.154988 0 0 0 0.764317 0 0.0674744 0 0 0.0132205 0 0 0 0
  205128.        469.231        4079.81       0.136296E-004   975.234        10.7171        5.98616      -0.784215E+007	0 0 0 0 0 0 0 0 0.144513 0 0 0 0.768863 0 0.069049 0 0 0.0175748 0 0 0 0
  211539.        469.231        4115.34       0.137985E-004   973.585        10.8113        6.04928      -0.768865E+007	0 0 0 0 0 0 0 0 0.0852081 0 0 0 0.772729 0 0.0692325 0 0 0.0392191 0 0.0336114 0 0
  217949.        469.231        4177.64       0.138043E-004   972.226        10.9362        6.08823      -0.754021E+007	0 0 0 0 0 0 0 0 0 0 0 0 0.56994 0 0 0 0 0.286529 0.0579068 0.0678449 0.0177792 0
  224359.        469.231        4303.22       0.147058E-004   966.073        11.1627        6.27392      -0.739700E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0230758 0.182011 0 0.648206 0.0584615 0.069742 0.0185035 0
  230769.        469.231        4421.96       0.166709E-004   955.413        11.3763        6.68078      -0.725805E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.380975 0.0219089 0.441245 0.0653811 0 0.0715213 0.0189692 0
  237180.        469.231        4431.54       0.165055E-004   954.350        11.4025        6.69210      -0.711434E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.38199 0.0226175 0.44096 0.0637461 0 0.0715323 0.0191542 0
  243590.        469.231        4441.06       0.163433E-004   953.297        11.4285        6.70342      -0.697093E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.382924 0.0232503 0.440679 0.0622408 0 0.0715429 0.0193633 0
  250000.        469.231        4450.51       0.161844E-004   952.254        11.4543        6.71468      -0.682782E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.38383 0.0238606 0.440394 0.0607647 0 0.0715534 0.0195974 0
  1.00000        525.641        3192.54       0.254235E-004   1076.93        7.09445        3.47767      -0.132049E+008	0.122749 0.0364803 0.72775 0.0553892 0 0 0.0576317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        525.641        3359.14       0.275296E-004   1072.05        8.18199        4.72193      -0.130221E+008	0 0 0.632639 0.146649 0.0289986 0.0566881 0 0.135025 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        525.641        3392.02       0.265352E-004   1071.19        8.29775        4.77118      -0.128349E+008	0 0 0.604778 0.137029 0.0310642 0.0269067 0 0.121706 0.0785158 0 0 0 0 0 0 0 0 0 0 0 0 0
  19231.7        525.641        3422.30       0.256643E-004   1070.44        8.39866        4.80803      -0.126492E+008	0 0 0.579731 0.131935 0.032539 0 0 0.106708 0.149087 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        525.641        3438.81       0.249423E-004   1068.87        8.45430        4.82635      -0.124652E+008	0 0 0.579667 0.132683 0.0326208 0 0 0.105741 0.149288 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        525.641        3455.01       0.242661E-004   1067.37        8.50825        4.84361      -0.122819E+008	0 0 0.579605 0.133718 0.032929 0 0 0.104303 0.149444 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        525.641        3470.91       0.236312E-004   1065.93        8.56027        4.85957      -0.120994E+008	0 0 0.579556 0.13537 0.0329496 0 0 0.102575 0.149549 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        525.641        3486.55       0.230299E-004   1064.53        8.61161        4.87568      -0.119177E+008	0 0 0.579489 0.136532 0.0330101 0 0 0.101287 0.149682 0 0 0 0 0 0 0 0 0 0 0 0 0
  51282.8        525.641        3511.17       0.235568E-004   1063.65        8.69348        4.92387      -0.117383E+008	0 0 0.580849 0.136681 0.0315812 0 0 0 0.150272 0 0 0.100617 0 0 0 0 0 0 0 0 0 0
  57693.1        525.641        3526.53       0.230369E-004   1062.26        8.74409        4.94177      -0.115586E+008	0 0 0.580794 0.135385 0.0287873 0 0 0 0.150574 0 0 0.104459 0 0 0 0 0 0 0 0 0 0
  64103.3        525.641        3541.59       0.225393E-004   1060.90        8.79347        4.95887      -0.113796E+008	0 0 0.58074 0.133952 0.0266932 0 0 0 0.150858 0 0 0.107756 0 0 0 0 0 0 0 0 0 0
  70513.5        525.641        3556.49       0.220667E-004   1059.58        8.84275        4.97645      -0.112014E+008	0 0 0.580686 0.13182 0.024836 0 0 0 0.151315 0 0 0.111342 0 0 0 0 0 0 0 0 0 0
  76923.8        525.641        3572.17       0.216090E-004   1058.24        8.89623        4.99655      -0.110242E+008	0 0 0.576803 0.129758 0.0234637 0 0 0 0.151633 0 0 0.114582 0.00376015 0 0 0 0 0 0 0 0 0
  83334.0        525.641        3590.74       0.211591E-004   1056.81        8.96348        5.02453      -0.108489E+008	0 0 0.561556 0.127394 0.0223884 0 0 0 0.151947 0 0 0.117957 0.0187574 0 0 0 0 0 0 0 0 0
  89744.2        525.641        3609.13       0.207314E-004   1055.39        9.02898        5.05137      -0.106741E+008	0 0 0.545877 0.124407 0.0216094 0 0 0 0.15227 0 0 0.121654 0.0341835 0 0 0 0 0 0 0 0 0
  96154.5        525.641        3628.70       0.203163E-004   1053.88        9.09786        5.08035      -0.104997E+008	0 0 0.525238 0.121155 0.0207745 0 0 0 0.152769 0 0 0.125639 0.0544241 0 0 0 0 0 0 0 0 0
  102565.        525.641        3655.26       0.198813E-004   1051.92        9.19141        5.12489      -0.103262E+008	0 0 0.479411 0.117426 0.0201932 0 0 0 0.153539 0 0 0.130347 0.0990841 0 0 0 0 0 0 0 0 0
  108975.        525.641        3778.66       0.197824E-004   1045.90        9.66386        5.41515      -0.101622E+008	0 0 0 0.118177 0.0201141 0 0 0 0.158165 0 0 0.137255 0.218812 0.347476 0 0 0 0 0 0 0 0
  115385.        525.641        3812.66       0.186980E-004   1041.69        9.77928        5.47490      -0.999809E+007	0 0 0 0.113253 0.0198239 0 0 0 0.159368 0 0 0.143342 0.493777 0.0704359 0 0 0 0 0 0 0 0
  121795.        525.641        3924.52       0.170198E-004   1029.78        10.2485        5.79834      -0.984925E+007	0 0 0 0.0289284 0 0 0 0 0.170442 0 0 0 0.741328 0 0.0593022 0 0 0 0 0 0 0
  128206.        525.641        3936.27       0.167677E-004   1028.71        10.2830        5.81006      -0.968787E+007	0 0 0 0.0265439 0 0 0 0 0.171043 0 0 0 0.742627 0 0.0597861 0 0 0 0 0 0 0
  134616.        525.641        3947.56       0.165248E-004   1027.70        10.3156        5.82054      -0.952683E+007	0 0 0 0.0249751 0 0 0 0 0.171618 0 0 0 0.743333 0 0.0600741 0 0 0 0 0 0 0
  141026.        525.641        3958.68       0.162899E-004   1026.70        10.3473        5.83062      -0.936614E+007	0 0 0 0.0234934 0 0 0 0 0.172473 0 0 0 0.743766 0 0.0602674 0 0 0 0 0 0 0
  147436.        525.641        3969.71       0.160620E-004   1025.73        10.3784        5.84052      -0.920582E+007	0 0 0 0.0219312 0 0 0 0 0.173622 0 0 0 0.744042 0 0.0604049 0 0 0 0 0 0 0
  153847.        525.641        3980.68       0.158408E-004   1024.77        10.4091        5.85028      -0.904587E+007	0 0 0 0.020163 0 0 0 0 0.175075 0 0 0 0.74425 0 0.0605123 0 0 0 0 0 0 0
  160257.        525.641        3991.73       0.156260E-004   1023.80        10.4397        5.86027      -0.888628E+007	0 0 0 0.0177967 0 0 0 0 0.177159 0 0 0 0.74444 0 0.0606043 0 0 0 0 0 0 0
  166667.        525.641        4002.84       0.154171E-004   1022.84        10.4702        5.87047      -0.872710E+007	0 0 0 0.0149405 0 0 0 0 0.179766 0 0 0 0.744611 0 0.0606825 0 0 0 0 0 0 0
  173077.        525.641        4014.23       0.152143E-004   1021.87        10.5008        5.88126      -0.856827E+007	0 0 0 0.0107952 0 0 0 0 0.183591 0 0 0 0.744851 0 0.0607628 0 0 0 0 0 0 0
  179487.        525.641        4025.89       0.150173E-004   1020.88        10.5318        5.89280      -0.840986E+007	0 0 0 0.00539035 0 0 0 0 0.188634 0 0 0 0.745136 0 0.0608403 0 0 0 0 0 0 0
  185898.        525.641        4037.48       0.148254E-004   1019.90        10.5624        5.90419      -0.825194E+007	0 0 0 0 0 0 0 0 0.193675 0 0 0 0.745411 0 0.0609147 0 0 0 0 0 0 0
  192308.        525.641        4047.46       0.146365E-004   1019.06        10.5899        5.91190      -0.809467E+007	0 0 0 0 0 0 0 0 0.19366 0 0 0 0.745378 0 0.0609616 0 0 0 0 0 0 0
  198718.        525.641        4059.37       0.144458E-004   1017.80        10.6293        5.92929      -0.793868E+007	0 0 0 0 0 0 0 0 0.183053 0 0 0 0.750665 0 0.0628186 0 0 0.00346274 0 0 0 0
  205128.        525.641        4073.65       0.142526E-004   1016.02        10.6828        5.95838      -0.778440E+007	0 0 0 0 0 0 0 0 0.159266 0 0 0 0.762241 0 0.0668019 0 0 0.0116909 0 0 0 0
  211539.        525.641        4097.44       0.142444E-004   1014.64        10.7523        6.00070      -0.763055E+007	0 0 0 0 0 0 0 0 0.121207 0 0 0 0.769024 0 0.0685939 0 0 0.025021 0 0.0161539 0 0
  217949.        525.641        4173.56       0.144466E-004   1013.46        10.9161        6.06876      -0.748350E+007	0 0 0 0 0 0 0 0 0 0 0 0 0.569516 0 0 0 0 0.289033 0.055213 0.0678689 0.0183696 0
  224359.        525.641        4291.69       0.152535E-004   1009.12        11.1238        6.21971      -0.733993E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.164039 0 0.691353 0.0557686 0.0696467 0.0191923 0
  230769.        525.641        4417.82       0.174604E-004   999.588        11.3505        6.65604      -0.719960E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.381368 0.00776129 0.455694 0.0640192 0 0.0715478 0.0196093 0
  237180.        525.641        4427.42       0.172886E-004   998.636        11.3769        6.66762      -0.705594E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.382273 0.00839396 0.455379 0.0625681 0 0.0715585 0.0198279 0
  243590.        525.641        4436.97       0.171204E-004   997.693        11.4031        6.67914      -0.691259E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.383153 0.00899981 0.455066 0.061139 0 0.071569 0.0200734 0
  250000.        525.641        4446.45       0.169554E-004   996.759        11.4292        6.69064      -0.676953E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.38396 0.00954104 0.454758 0.059837 0 0.0715792 0.0203253 0
  1.00000        582.051        3188.05       0.262174E-004   1100.48        7.07747        3.46863      -0.131434E+008	0.122579 0.0362822 0.727895 0.0556412 0 0 0.057603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        582.051        3353.82       0.284362E-004   1096.67        8.15374        4.70352      -0.129605E+008	0 0 0.63257 0.148902 0.0275727 0.0565893 0 0.134366 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        582.051        3388.87       0.273650E-004   1095.88        8.27568        4.75315      -0.127726E+008	0 0 0.600466 0.136407 0.0305505 0.0221397 0 0.119711 0.0907263 0 0 0 0 0 0 0 0 0 0 0 0 0
  19231.7        582.051        3416.79       0.264636E-004   1094.93        8.36909        4.78621      -0.125869E+008	0 0 0.579893 0.130842 0.0321101 0 0 0.108101 0.149053 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        582.051        3433.42       0.257152E-004   1093.44        8.42483        4.80410      -0.124029E+008	0 0 0.579844 0.132157 0.0323227 0 0 0.106468 0.149208 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        582.051        3449.69       0.250124E-004   1092.02        8.47833        4.82038      -0.122196E+008	0 0 0.579808 0.133803 0.0322502 0 0 0.104828 0.149311 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        582.051        3465.70       0.243521E-004   1090.66        8.53114        4.83691      -0.120372E+008	0 0 0.579756 0.135122 0.032418 0 0 0.103268 0.149437 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        582.051        3481.40       0.237273E-004   1089.34        8.58260        4.85279      -0.118554E+008	0 0 0.579702 0.136302 0.0323964 0 0 0.102044 0.149557 0 0 0 0 0 0 0 0 0 0 0 0 0
  51282.8        582.051        3505.84       0.242621E-004   1088.86        8.66529        4.90085      -0.116760E+008	0 0 0.581035 0.137301 0.0317655 0 0 0 0.150083 0 0 0.0998155 0 0 0 0 0 0 0 0 0 0
  57693.1        582.051        3521.31       0.237253E-004   1087.57        8.71610        4.91875      -0.114964E+008	0 0 0.580986 0.136263 0.0285144 0 0 0 0.15037 0 0 0.103866 0 0 0 0 0 0 0 0 0 0
  64103.3        582.051        3536.55       0.232144E-004   1086.31        8.76641        4.93672      -0.113175E+008	0 0 0.580932 0.134973 0.0254987 0 0 0 0.150808 0 0 0.107787 0 0 0 0 0 0 0 0 0 0
  70513.5        582.051        3551.47       0.227249E-004   1085.09        8.81546        4.95386      -0.111393E+008	0 0 0.580876 0.133562 0.0233242 0 0 0 0.151102 0 0 0.111137 0 0 0 0 0 0 0 0 0 0
  76923.8        582.051        3566.19       0.222557E-004   1083.90        8.86391        4.97087      -0.109617E+008	0 0 0.580805 0.132088 0.0215281 0 0 0 0.151529 0 0 0.11405 0 0 0 0 0 0 0 0 0 0
  83334.0        582.051        3582.86       0.218014E-004   1082.67        8.92240        4.99427      -0.107859E+008	0 0 0.572981 0.129822 0.020257 0 0 0 0.151872 0 0 0.117437 0.00763138 0 0 0 0 0 0 0 0 0
  89744.2        582.051        3602.23       0.213540E-004   1081.36        8.99262        5.02420      -0.106115E+008	0 0 0.554371 0.128027 0.0189418 0 0 0 0.152314 0 0 0.120449 0.0258981 0 0 0 0 0 0 0 0 0
  96154.5        582.051        3622.44       0.209231E-004   1080.01        9.06490        5.05542      -0.104377E+008	0 0 0.531723 0.12551 0.0180082 0 0 0 0.152687 0 0 0.123991 0.0480808 0 0 0 0 0 0 0 0 0
  102565.        582.051        3648.23       0.204800E-004   1078.35        9.15629        5.09860      -0.102646E+008	0 0 0.488871 0.12318 0.0169377 0 0 0 0.153498 0 0 0.127645 0.0898678 0 0 0 0 0 0 0 0 0
  108975.        582.051        3770.16       0.205432E-004   1073.99        9.62270        5.38553      -0.101009E+008	0 0 0 0.12492 0.0163144 0 0 0 0.157905 0 0 0.13416 0.166603 0.400098 0 0 0 0 0 0 0 0
  115385.        582.051        3797.88       0.196550E-004   1070.97        9.72053        5.43427      -0.993617E+007	0 0 0 0.121286 0.0156854 0 0 0 0.159074 0 0 0.138639 0.362711 0.202604 0 0 0 0 0 0 0 0
  121795.        582.051        3881.72       0.177977E-004   1062.89        10.0154        5.61027      -0.978139E+007	0 0 0 0.111028 0.015909 0 0 0 0.162935 0 0 0 0.673398 0 0.0367298 0 0 0 0 0 0 0
  128206.        582.051        3931.81       0.173338E-004   1058.25        10.2593        5.79202      -0.962833E+007	0 0 0 0.0276599 0 0 0 0 0.171704 0 0 0 0.74132 0 0.0593159 0 0 0 0 0 0 0
  134616.        582.051        3943.57       0.170829E-004   1057.29        10.2938        5.80414      -0.946730E+007	0 0 0 0.0247091 0 0 0 0 0.173072 0 0 0 0.742482 0 0.059737 0 0 0 0 0 0 0
